Report ID,Years Covered,Country Name,Lookup,Region,Country Webpage,Sector,Total Production Value (US$),Revenue Streams Covered,Includes In-kind Payments,Added to Payments by Author,Payments Received by Government from Covered Companies (US$),Payments Made by Covered Companies (US$),Proportion of Total Revenue/Production Covered (as indicated in EITI Report),Total Government Extractives Revenue (US$),Source for Total Government Extractives Revenues,Government's share,Currency,"Exchange Rate Utilized, US$1:LC",Disaggregation,In-kind Payment Volumes,In-kind Payment Value (US$),Nature of Subsidy,Amount of Subsidy (US$),Number of Companies Requested to Report,Companies Requested to Report,Number of Reporting Companies,Publication Date,Updated Date,Name of the Reconciler,EITI Report,Page of the Report,Comments
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,http://aeiti.af/,Mining,86293961.47468576,"Profits/Taxes, Royalties, Bonuses, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,-,89690970.0,89986645.0,,,,1.0393655415426808,Afghanistan Afghani,50.39,"Disaggregated by revenue stream, Disaggregated by company, Disaggregated by company and revenue stream",,,,,5.0,"Afghan Investment Company (AIC), Brotheran Khoshak (Khoshak Brothers), MJAM MCC-JCL Aynak Minerals Company Ltd, North Coal Enterprise (NCE), Wens Logistics",4.0,August 2012,41884.0,Moore Stephens,http://eiti.org/files/Afghanistan-2008-2009-EITI-Report.pdf,10.0,"The report covers the fiscal period 1387 (21 March 2008 – 20 March 2009). Materiality threshold: All mining companies, regardless of whether they are state owned or private or whether they pay non-tax or tax or both, whose annual payments to the Government equal or exceed 7.5 million Afghanis should be reconciled. Disaggregation by commodity is only indirect through disaggregation by company, and therefore limited. Unilateral declarations are not included in the figures. Resolved discrepancies are not included in the final figures, but there is insufficent information to add these retrospectively. The North Coal Enterprise (NCE) is a SOC."
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,http://aeiti.af/,Mining,80652289.49983369,"Profits/Taxes, Royalties, Bonuses, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,-,7788994.0,13964717.0,,,,0.09657498935620497,Afghanistan Afghani,45.7,"Disaggregated by revenue stream, Disaggregated by company, Disaggregated by company and revenue stream",,,,,6.0,"Afghan Investment Company (AIC), Brotheran Khoshak (Khoshak Brothers), Mesaq Sharq, MJAM MCC-JCL Aynak Minerals Company Ltd, North Coal Enterprise (NCE), Wens Logistics",5.0,August 2012,41885.0,Moore Stephens,http://eiti.org/files/Afghanistan-2008-2009-EITI-Report.pdf,14.0,"The report covers the fiscal period 1388 (21 March 2009 – 20 March 2010). Materiality threshold: All mining companies, regardless of whether they are state owned or private or whether they pay non-tax or tax or both, whose annual payments to the Government equal or exceed 7.5 million Afghanis should be reconciled. Disaggregation by commodity is only indirect through disaggregation by company, and therefore limited. Unilateral declarations are not included in the figures. Resolved discerpancies are not included in the final figures, but there is insufficent information to add these retrospectively. The North Coal Enterprise (NCE) is a SOC."
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,http://aeiti.af/,Mining,116777080.83738995,"Profits/Taxes, Royalties, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,-,23383829.47,24969535.89,,,,0.20024331232051926,Afghanistan Afghani,45.7,"Disaggregated by revenue stream, Disaggregated by company, Disaggregated by company and revenue stream",,,,,6.0,"Afghan Investment Company (AIC), Brotheran Khoshak (Khoshak Brothers), Mesaq Sharq, MJAM MCC-JCL Aynak Minerals Company Ltd, North Coal Enterprise (NCE), Wens Logistics",5.0,October 2012,41885.0,Moore Stephens,http://eiti.org/files/Afghanistan-2010-2011-EITI-Report.pdf,10.0,"The report covers the fiscal period 1389 (21 March 2010 – 20 March 2011). Materiality threshold: All mining companies, regardless of whether they are state owned or private or whether they pay non-tax or tax or both, whose annual payments to the Government equal or exceed 7.5 million Afghanis should be reconciled. Disaggregation by commodity is only indirect through disaggregation by company, and therefore limited. Unilateral declarations are not included in the figures. Resolved discerpancies are not included in the final figures, but there is insufficent information to add these retrospectively. The North Coal Enterprise (NCE) is a SOC."
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,http://aeiti.af/,"Oil, Gas, Mining",156067920.43296844,"Profits/Taxes, Royalties, Bonuses",Does not include payments made in-kind,-,101776402.0,101712176.0,,,,0.6521289046310655,Afghanistan Afghani,47.63,"Disaggregated by revenue stream, Disaggregated by company, Disaggregated by company and revenue stream",,,,,14.0,"Northern Coal Enterprise, Afghan Gas Enterprise, MCC-JCL Aynak Minerals Company, Afghan Investment Company, Technologist Company, Korea Road Construction Company, 
Hewadwal Road Construction Company, Khushak Brothers Company, Meesaq Sharq Company, West Land General Trading, Salim Karwan, Kod Barq, China National Petroleum Company CNPCI-W, Equity Capital Group",14.0,September 2014,41914.0,Moore Stephens,http://eiti.org/files/Afghanistan_2011_EITI_Report.pdf,5.0,"The report covers the fiscal period 1390 (21 March 2011 – 20 March 2012).  Materiality threshold: companies which have made payments of at least 2 million Afghanis should be reconciled. Disaggregation by commodity is only indirect through disaggregation by company, and therefore limited. The North Coal Enterprise (NCE) and two gas companies, Afghan Gas Enterprise and Kod-e-Barq, are SOCs."
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,http://www.albeiti.org/,"Oil, Mining",228971998.28485578,"Host government's production entitlement, Royalties",Also covers payments made in-kind,No,33298711.201804318,33961855.11760283,,33298711.201804318,Inferred from EITI Report,0.14542700177852574,United States Dollar and Albanian Lek,93.11,Disaggregated by revenue stream,Unknown quantity of bbl of oil - only the value is given in report,8300000.0,,,46.0,"Albpetrol, Bankers Petroleum, Capricorn Albania, IEC Visoka, Island International Exploration, Manas Adriatic, Sherwood Internationl, Sky Petroleum, Stream Oil and Gas, ACR/Albanian Chrome, Alb-Canaj, Alba-Co, Alfa Nikel, Ateani, Balkan Resources, Ber Alb, Bledi, Egi-K, Empire Mining Albania, Fabirka e Pasurimit te Kromit, Geri Trevi, Herbi, 11 Heronjte e Batres, Isaku, Jab Resources, K-12, Klosi, Koka, Krypi, L.B.M., Neli, Prodhime Karbonike, Ral, Rej, Shkalla, Mineral Tadri, Tirex Exploration, Xhireton, Ylberi, YZO, Zguri, Dollar Oil, Gentari, Geri's 2002, Klervibris, Shkembi",41.0,March 2011,41885.0,Fair Links,http://eiti.org/files/Albania-2009-EITI-Report.pdf,15-16,"The report uses US dollars for oil payments, and the local currency, the Albanian Lek, for mining payments. Materiality threshold: All active oil & gas companies should be reconciled; Mining companies should be reconciled depending on their level of production. The report doesn't distinguish between oil and gas companies.  It is unclear whether unilateral declarations are included in the figures. Payments made to Albpetrol, a SOC, accounted for 44% of total revenues. The 2010 Report gives total mining sector revenues for 2009, but this figure is actually less than the revenues reconciled in the 2009 Report. It is therefore assumed that the reconciled revenues account for all mining revenues in 2009."
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,http://www.albeiti.org/,"Oil, Mining",493928693.1689066,"State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses, Other significant benefits to government",Does not include payments made in-kind,-,62819643.0,61621520.0,,63004400.01030928,Inferred from EITI Report,0.12755768369335033,United States Dollar and Albanian Lek,102.17,Disaggregated by revenue stream,,,,,69.0,"Bankers Petroleum, Stream Oil & Gas, IEC Visoka, Capricorn Albania (subsidiary of Cairn), Island International Exploration (subsidiary of San Leon Energy plc), Manas Adriatic (subsidiary of DWM then Petromanas Energy Inc.), Sherwood International Petroleum Ltd (subsidiary of Bankers Petroleum), Sky Petroleum, Albpetrol, Albanian Chrome shpk, BerAlba shpk, Empire Mining, Jab Resources, Balkan Resources, Cougar Mining, Tirex Exploration, Afrimi-k, Alb-Canaj, Algej shpk, Ateani shpk, Bytyci, Egi-K, Elidon - 06, Ernisi shpk, Fabrika e Pasurimit te Kromit, Florida shpk, Gentari, Gjoni shpk, Herbi, Info Metal Plast al shpk, Klervibris shpk, Klosi shpk, Koka shpk, Aren 2003, Alb Xhoi, Koxheri shpk, Krasta shpk, Kromex Import Export, Lahaze, Lamnica shpk, Leshnica, Marei shpk, Mineral - Invest shpk, Miniera e kromit katjel, Neli, Ral shpk, Runja, Shkalla shpk, Shkembi shpk, Tadri shpk, Tollja, Vellazeria shpk, Ylberi shpk, Selenice Bitumi sha, Alb Tiefbau, Antea cement, Babasi coo shpk, F. Kruja cement factory, Makaresh shpk, Salillari shpk, Shkodra intert, Stone Production, Vellezerit Llupo shpk, B & b Stone, Dks Group shpk, Albitoil shpk, Prodhime Karbonike sha, Arsi shpk, Klervibris shpk",62.0,December 2012,41886.0,Fair Links,http://eiti.org/files/Albania-2010-EITI-Report.pdf,14-15,"The report uses US dollars for oil payments, and the local currency, the Albanian Lek, for mining payments.  Materiality threshold: All active oil & gas companies should be reconciled;  All large-scale mining companies, and all other mining companies with a turnover greater than 50 million Leks, should be reconciled. The report doesn't distinguish between oil and gas companies. It is unclear whether unilateral declarations are included in the figures. Payments made to Albpetrol, a SOC, accounted for 39% of total revenues. "
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,http://www.albeiti.org/,"Oil, Mining",673969009.51,"Profits/Taxes, Royalties, Dividends, Bonuses",Does not include payments made in-kind,-,87672150.56845324,87847635.42562339,,89003534.91927008,EITI Report,0.1320587944896441,United States Dollar and Albanian Lek,104.67,"Disaggregated by revenue stream, Disaggregated by company, Disaggregated by company and revenue stream",,,,,67.0,"Bankers Petroleum Albania Ltd, Dega Ne Shqiperi E Stream Oil & Gas Ltd, Petromanas Albania GmbH, San Leon Durressi B.V., Sky Petroleum - Albanian Branch, Albpetrol, Beralb Sh.A., Albchrome Sh.p.k., Salillari Sh.p.k., Egi-K Sh.p.k., Miniera E Kromit Katjel Sh.p.k., Shkalla Sh.p.k., Fabrika E Pasurmit Te Kromit Bulqize Sh.p.k., Ernisi Sh.p.k., Fushe Kruja Cement Factory Sh.p.k., Gentari Sh.p.k., Kromex Sh.p.k., Koka Sh.p.k., Herbi Sh.p.k., Heidorn & Binjaku Sh.p.k., Antea Cement Sh.A., Stone Production Sh.p.k., Alb-Canaj Sh.p.k., 11 Heronjte Bater Sh.p.k., Drini Bulqize Sh.p.k., Gjoni Sh.p.k., Shpresa - Al Sh.p.k., Isaku Sh.p.k., Favina Sh.p.k., Klosi Sh.p.k., Bytyci Sh.p.k., Rej Sh.A., Vellazeria Sh.p.k., Gerold Sh.p.k., Ral Sh.p.k., Rier Sh.p.k., Prodhme Karbonike Sh.a., United Quarries Sh.p.k., Alb-Xhoi Sh.p.k., Kuarci Blace Sh.p.k., Runja Sh.p.k., Babasi Coo Sh.p.k., Feni Korca Sh.A., Neli Sh.p.k., Ervin Sh.p.k., Aris Albania Sh.p.k., Leshnica Sh.p.k., Krasta Sh.p.k., Lubima Sh.p.k., Ra Krom - Tirana Sh.k.p., Koxheri Sh.p.k., Lamnia Sh.p.k., Latomia Tirana Sh.A., Elidon - 06 Sh.p.k., Jab Resoucres Sh.p.k., Bakan Resources Sh.p.k., Tirex Explorations Sh.p.., Knauf - Tirana Sh.p.k., Other entities",63.0,June 2014,41887.0,Deloitte,http://eiti.org/files/20140701090023_eiti_report_2011_english_0.pdf,"3, 4","The report uses US dollars for oil payments, and the local currency, the Albanian Lek, for mining payments.  Materiality threshold: All active oil & gas companies should be reconciled; All mining companies with a revenue of at least US$750,000, and all other mining companies that produce a mineral-specific volume, should be reconciled. The report notes that 67 companies were asked to report, but only 58 are named. The report doesn't distinguish between oil and gas companies, or between mining companies producing different commodities. Unilateral declarations are included in the figures. Oil and gas revenues reported account for 100% of the cashflows contributed by the sector for the selcted revenue streams. Mining revenues reported account for 50% of the cashflows contributed by the sector for the selected revenue streams, but the mining companies covered account for 71.4% of the production value of the sector in 2011, which is given in the report as US$217,469,880. Given the production value of the mining sector is given in the report, production information for individual mining commodities has not been collected. Payments made to Albpetrol, a SOC, accounted for 39% of total revenues. "
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,http://www.albeiti.org/,"Oil, Mining",633200000.0,"Profits/Taxes, Royalties, Dividends",Does not include payments made in-kind,No,92136623.82,92418128.93,,111288355.07,EITI Report,0.1455095132975363,Albanian Lek,106.57,"Disaggregated by revenue stream, Disaggregated by company",,,,,78.0,"Bankers Petroleum Albania Ltd., Dega në Shqipëri e Stream Oil & Gas Ltd., Sherwood International Petroleum Ltd., Transoil Group - Dega në Shqipëri, Petromanas Albania GmbH, Capricorn Albania Limited, San Leon Durrësi B.V., Emanuelle Adriatic Energy Ltd., Fushe Kruja Cement Factory Sh.p.k., Antea Cement Sh.a., Babasi COO Sh.p.k., Beralb Sh.a., United Quarries, Sh.p.k., Gerold Sh.p.k., Miniera e Kromit Katjel Sh.p.k., Bytyçi Sh.p.k., Ernisi Sh.p.k., Vëllazëria Sh.p.k., Cahani Sh.p.k., Leshnica Sh.p.k., Nika BL Sh.p.k., Lamnica Sh.p.k., Albchrome Sh.p.k., Koka Sh.p.k., Egi - K Sh.p.k., Zasha Sh.p.k., Runja Sh.p.k., Gjoni Sh.p.k., Gentari Sh.p.k., Fabrika e Pasurimit të Kromit Bulqizë Sh.p.k., Isaku Sh.p.k., Rier Sh.p.k., Alb - Canaj Sh.p.k., Herbi Sh.p.k., Klosi Sh.p.k., Krasta Sh.p.k., Koxheri Sh.p.k., Kuarci Blace Sh.p.k., Neli Sh.p.k., Lubima Sh.p.k., Favina Sh.p.k., Ral Sh.p.k. 
Shkalla Sh.p.k., Bledi Sh.p.k., Aliaj Group Sh.p.k. Romes Sh.p.k., Tili Inert Sh.p.k., Grenast Sh.p.k., Minex Sh.p.k., Brisel Sh.p.k., Albanisa - Krypi Sh.p.k., Ylberi, Sh.p.k., Ylberi Sh.p.k., Mineral Invest Sh.p.k., Kurti Sh.p.k. 
Arkev Sh.p.k., Lita Brothers Construction Sh.p.k., Geri's 2002 Sh.p.k., Info Metal Plast - Al Sh.p.k., Ateani Sh.p.k., Yzo Sh.p.k., Platinium ALB Sh.p.k. 
Vëllezërit Llupo Sh.p.k., Heidorn & Binjaku Sh.p.k., Kromex Sh.p.k., Aris Albania Sh.p.k., Drini Bulqizë Sh.p.k., Prodhime Karbonike Sh.a., Salillari Sh.p.k., Stone Production Sh.p.k., 11 Heronjtë Bater Sh.p.k., Rej Sh.a., KNAUF - Tirana Sh.p.k., Pula - X Sh.p.k. ",74.0,December 2014,,Deloitte,https://eiti.org/files/EITI%20Report%202012_English_SITE.pdf,,Total production value (and certain commodity production values) missing but calculated here adding the oil and mining values. Payment values differ from EITI website (Website may have double counted)
Azerbaijan2003,2003,Azerbaijan,2003_Azerbaijan,Europe and Central Asia,http://www.eiti.az,"Oil, Gas",3997703028.06,"Host government's production entitlement, State-owned company production entitlement, Royalties, Other significant benefits to government",Also covers payments made in-kind (though these are only reported for Government),Yes,622338949.7510204,263638775.51020396,,,,0.1556741322161262,United States Dollar and Azerbaijani Manat (converted from the ,0.98,Disaggregated by revenue stream,"6,600,000 bbl of oil; 1,052,200 thousand cubic metres of gas",363048976.0,,,21.0,"BP Exploration (Caspian Sea) Limited, State Oil Company of the Republic of Azerbaijan, Total E&P Azerbaijan B.V., ITOCHU Oil Exploration (Azerbaijan) Inc., Statoil, Turkish Petroleum A.O., Commonwealth Oil and Gas, Exxon Azerbaijan Limited, ConocoPhillips, Amerada Hess (ACG) Limited, Devon Energy Caspian Corporation, Lukoil Overseas, Unocal Khazar, Shengli Oil, Salyan Oil Limited, Karasu Operating Company, Shell Azerbaijan Exploration and Production, Middle East Petroleum, Anshad Petrol JV, Shirvan Oil JV, Azgerneft JV",21.0,February 2005,41887.0,Deloitte,http://eiti.org/files/Azerbaijan-2003-EITI-Report.pdf,2-3,"The report uses US dollars for payments by foreign companies, and the local currency, the Old Azerbaijani Manat (AZM), for payments by local companies. An exchange rate is not provided to convert the latter. The local currency has since changed to the New Old Azerbijani Manat (AZN) at the rate 5000AZM=1AZN. This is used to convert the local currency payments to AZN and then the exchange rate for US$:AZN of the World Bank is used (http://data.worldbank.org/indicator/PA.NUS.FCRF). Materiality threshold: Not given. The report doesn't distinguish between oil and gas producers. The report gives the volumes but not values for the payments in kind. The values are calculated using the relevant commodity prices from the BPSR 2014 (detailed below). Resolved discerpancies are not included in the final figures, but these have been added retrospectively. Unilateral declarations are included in the figures. Five companies were not asked to report, but are reported on by government."
Azerbaijan2004,2004,Azerbaijan,2004_Azerbaijan,Europe and Central Asia,http://www.eiti.az,"Oil, Gas",5093724575.55375,"Host government's production entitlement, State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Other significant benefits to government",Also covers payments made in-kind (though these are only reported for Government),Yes,1099837402.0408163,645018367.3469387,,,,0.21592007689604037,United States Dollar and Azerbaijani Manat,0.98,Disaggregated by revenue stream,"6,700,000 bbl of oil; 1,050,000 thousand cubic metres of gas",445467623.32500005,,,21.0,"BP Exploration (Caspian Sea) Limited, State Oil Company of the Republic of Azerbaijan, Total E&P Azerbaijan B.V., ITOCHU Oil Exploration (Azerbaijan) Inc., Statoil, Turkish Petroleum A.O., Commonwealth Oil and Gas, Exxon Azerbaijan Limited, ConocoPhillips, Amerada Hess (ACG) Limited, Devon Energy Caspian Corporation, Lukoil Overseas, Unocal Khazar, Shengli Oil, Salyan Oil Limited, Karasu Operating Company, Shell Azerbaijan Exploration and Production, Middle East Petroleum, Anshad Petrol JV, Shirvan Oil JV, Azgerneft JV",21.0,June 2005,41887.0,Deloitte,http://eiti.org/files/Azerbaijan-2004-EITI-Report.pdf,2-4,"The report uses US dollars for payments by foreign companies, and the local currency, the Old Azerbaijani Manat (AZM), for payments by local companies. An exchange rate is not provided to convert the latter. The local currency has since changed to the New Old Azerbijani Manat (AZN) at the rate 5000AZM=1AZN. This is used to convert the local currency payments to AZN and then the exchange rate for US$:AZN of the World Bank is used (http://data.worldbank.org/indicator/PA.NUS.FCRF). Materiality threshold: Not given. The report doesn't distinguish between oil and gas producers. The report gives the volumes but not values for the payments in kind. The values are calculated using the relevant commodity prices from the BPSR 2014 (detailed below). Resolved discerpancies (mainly caused by accrual v cash reporting) are not included in the final figures, but these have been added retrospectively. Unilateral declarations are included in the figures. Five companies were not asked to report, but are reported on by government."
