,Overall EITI Report Info,,,,,,,,,EITI Report Coverage of Breakdowns,,,,,,,
Report ID,Period Covered,Country,Region,Publication Date,Sector,Government Revenues (US$),Company Payments (US$),Number of Companies Reporting,Link to Report,By Company,By Commodity,By Revenue Stream,By Rev Stream & Commodity,By Rev Stream & Company,By Project,Is there an SOC?,Are Contracts Disclosed?
Afghanistan2008,2008.0,Afghanistan,South Asia,August 2012,Mining,89690970.0,89986645.0,4.0,http://eiti.org/files/Afghanistan-2008-2009-EITI-Report.pdf,x,,x,,x,,yes,no
Afghanistan2009,2009.0,Afghanistan,South Asia,August 2012,Mining,7788994.0,13964717.0,5.0,http://eiti.org/files/Afghanistan-2008-2009-EITI-Report.pdf,x,,x,,x,,yes,no
Afghanistan2010,2010.0,Afghanistan,South Asia,October 2012,Mining,23383829.47,24969535.89,5.0,http://eiti.org/files/Afghanistan-2010-2011-EITI-Report.pdf,x,,x,,x,,yes,no
Afghanistan2011,2011.0,Afghanistan,South Asia,September 2014,"Oil, Gas, Mining",101776402.0,101712176.0,14.0,http://eiti.org/files/Afghanistan_2011_EITI_Report.pdf,x,,x,,x,,yes,no
Albania2009,2009.0,Albania,Europe and Central Asia,March 2011,"Oil, Mining",33298711.201804318,33961855.11760283,41.0,http://eiti.org/files/Albania-2009-EITI-Report.pdf,,,x,,,,yes,no
Albania2010,2010.0,Albania,Europe and Central Asia,December 2012,"Oil, Gas, Mining",62819643.0,61621520.0,62.0,http://eiti.org/files/Albania-2010-EITI-Report.pdf,,,x,,,,yes,no
Albania2011,2011.0,Albania,Europe and Central Asia,June 2014,"Oil, Gas, Mining",87672150.56845324,87847635.42562339,63.0,http://eiti.org/files/20140701090023_eiti_report_2011_english_0.pdf,x,,x,,x,,yes,no
Albania2012,2012.0,Albania,Europe and Central Asia,December 2014,"Oil, Mining",92136623.82,92418128.93,74.0,https://eiti.org/files/EITI%20Report%202012_English_SITE.pdf,x,,x,,,,,no
Azerbaijan2003,2003.0,Azerbaijan,Europe and Central Asia,February 2005,"Oil, Gas",622338949.7510204,263638775.51020396,21.0,http://eiti.org/files/Azerbaijan-2003-EITI-Report.pdf,,,x,,,,yes,no
