Period Covered,Country,,Region,Publication Date,Sector,Government Revenues (US$)
2008.0,Afghanistan,2008_Afghanistan,South Asia,August 2012,Mining,89690970.0
2009.0,Afghanistan,2009_Afghanistan,South Asia,August 2012,Mining,7788994.0
2010.0,Afghanistan,2010_Afghanistan,South Asia,October 2012,Mining,23383829.47
2011.0,Afghanistan,2011_Afghanistan,South Asia,September 2014,"Oil, Gas, Mining",101776402.0
2009.0,Albania,2009_Albania,Europe and Central Asia,March 2011,"Oil, Mining",33298711.201804318
2010.0,Albania,2010_Albania,Europe and Central Asia,December 2012,"Oil, Gas, Mining",62819643.0
2011.0,Albania,2011_Albania,Europe and Central Asia,June 2014,"Oil, Gas, Mining",87672150.56845324
2012.0,Albania,2012_Albania,Europe and Central Asia,December 2014,"Oil, Mining",92136623.82
2003.0,Azerbaijan,2003_Azerbaijan,Europe and Central Asia,February 2005,"Oil, Gas",622338949.7510204
2004.0,Azerbaijan,2004_Azerbaijan,Europe and Central Asia,June 2005,"Oil, Gas",1099837402.0408163
2005.0,Azerbaijan,2005_Azerbaijan,Europe and Central Asia,June 2006,"Oil, Gas",1475500561.5275025
2006.0,Azerbaijan,2006_Azerbaijan,Europe and Central Asia,July 2007,"Oil, Gas",3510790699.9586
2007.0,Azerbaijan,2007_Azerbaijan,Europe and Central Asia,May 2008,"Oil, Gas",5563486877.5584
2008.0,Azerbaijan,2008_Azerbaijan,Europe and Central Asia,May 2009,"Oil, Gas",19134087707.225998
2009.0,Azerbaijan,2009_Azerbaijan,Europe and Central Asia,April 2010,"Oil, Gas, Mining",14160319906.428267
2010.0,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,May 2011,"Oil, Gas, Mining",19732689646.4149
2011.0,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,June 2012,"Oil, Gas, Mining",23901723059.816406
2012.0,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,June 2013,"Oil, Gas, Mining",21826952015.57588
2008.0,Burkina Faso,2008_Burkina Faso,Africa,April 2011,Mining,3746160.96432199
2009.0,Burkina Faso,2009_Burkina Faso,Africa,April 2011,Mining,22698094.71144401
2010.0,Burkina Faso,2010_Burkina Faso,Africa,July 2012,Mining,47170416.0
2011.0,Burkina Faso,2011_Burkina Faso,Africa,December 2013,Mining,236414921.8933501
2012.0,Burkina Faso,2012_Burkina Faso,Africa,December 2014,Mining,366304044.27
2001.0,Cameroon,2001_Cameroon,Africa,October 2006,Oil,731900794.8508164
2002.0,Cameroon,2002_Cameroon,Africa,October 2006,Oil,338323283.5616438
2003.0,Cameroon,2003_Cameroon,Africa,October 2006,Oil,753768010.0
2004.0,Cameroon,2004_Cameroon,Africa,October 2006,Oil,954798250.0
2005.0,Cameroon,2005_Cameroon,Africa,February 2007,Oil,1188024922.5
