Report ID,Year,Country,Region,Name of Project,Commodity Type,Commodity,EITI Production Volumes,Unit,Price from EITI Report,Per Unit,Name of Companies Operating the Project,Payments Received by Government (US$),Payments Made by Companies (US$),Page of the Report
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,Oil,1181088.0,bbls,Not given,,Tullow Ghana Limited (Operator and holder of 34.7% interest),Not given,Not given,19.0
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Kosmos Energy (23.5%),,,
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Anadarko Petroleum (23.5%),,,
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Ghana National Petroleum Company (13.8%),,,
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Sabre Oil & Gas (2.8%),,,
Ghana2010,2010.0,Ghana,Africa,Jubilee Field,Oil,,,,,,E.O. Group (1.7%),,,
Ghana2011,2011.0,Ghana,Africa,Jubilee Field,Oil,Oil,24195895.0,bbls,113.075,US$/bbl,Tullow Ghana Limited (Operator and holder of 35.5% interest),Not given,Not given,"19, 21"
Ghana2011,2011.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Kosmos Energy (24%),,,
Ghana2011,2011.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Anadarko Petroleum (24%),,,
Ghana2011,2011.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Ghana National Petroleum Company (13.6%),,,
Ghana2011,2011.0,Ghana,Africa,Jubilee Field,Oil,,,,,,Sabre Oil & Gas (2.7%),,,
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Rokan,"Oil, Gas",Oil/Gas,Not given,,,,PT Chevron Pacific Indonesia,5477067000.0,5477072000.0,6.4/1
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,East Kalimantan,"Oil, Gas",Oil/Gas,Not given,,,,Chevron Indonesia Company,371120000.0,371121000.0,6.4/2
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Makassar Strait,"Oil, Gas",Oil/Gas,Not given,,,,Chevron Makassar Ltd.,189152000.0,186646000.0,6.4/3
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Siak,"Oil, Gas",Oil/Gas,Not given,,,,Chevron Siak Inc.,34868000.0,34868000.0,6.4/4
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,MFK,"Oil, Gas",Oil/Gas,Not given,,,,Chevron Mountain Front Kuantan Inc.,9123000.0,8797000.0,6.4/5
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Mahakam,"Oil, Gas",Oil/Gas,Not given,,,,Total E&P Indonesie,2597509000.0,2597509000.0,6.4/6
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Mahakam,"Oil, Gas",,Not given,,,,Inpex Corporation,2290007000.0,1456838000.0,6.4/7
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,South Natuna Sea B,"Oil, Gas",Oil/Gas,Not given,,,,ConocoPhillips Indonesia Inc. Ltd.,1233560000.0,1233561000.0,6.4/8
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Corridor,"Oil, Gas",Oil/Gas,Not given,,,,ConocoPhillips (Grissik) Ltd.,1272176000.0,1272238000.0,6.4/9
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,South Jambi B,"Oil, Gas",Oil/Gas,Not given,,,,ConocoPhillips (South Jambi) Ltd.,6958000.0,6047000.0,6.4/10
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Indonesia (Nation-wide),"Oil, Gas",Oil/Gas,Not given,,,,PT Pertamina EP,1387958000.0,1367305000.0,6.4/11
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Sanga-Sanga,"Oil, Gas",Oil/Gas,Not given,,,,Virginia Indonesia Co.,666025000.0,670618000.0,6.4/12
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,North Sumatra Offshore,"Oil, Gas",Oil/Gas,Not given,,,,Mobil Expl. Indo (NSO) Inc.,355402000.0,355402000.0,6.4/13
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,B Block,"Oil, Gas",Oil/Gas,Not given,,,,ExxonMobil Oil Indonesia Inc.,330720000.0,330721000.0,6.4/14
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Cepu,"Oil, Gas",Oil/Gas,Not given,,,,Mobil Cepu Ltd.,22792000.0,22792000.0,6.4/15
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Pase,"Oil, Gas",Oil/Gas,Not given,,,,Mobil Pase Inc.,906000.0,1146000.0,6.4/16
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,South East Sumatera,"Oil, Gas",Oil/Gas,Not given,,,,CNOOC SES Ltd.,577228000.0,561290000.0,6.4/17
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,Coastal Plains Pekanbaru,"Oil, Gas",Oil/Gas,Not given,,,,PT Bumi Siak Pusako,318379000.0,319903000.0,6.4/18
Indonesia2009,2009.0,Indonesia,East Asia and Pacific,West Madura,"Oil, Gas",Oil/Gas,Not given,,,,PT Pertamina Hulu Energi West Madura,134410000.0,134950000.0,6.4/19
