MEASURE,,,US Dollars at current prices and current exchange rates in millions,,,,,,,,,,Percentage of total trade in goods and services,,,,,,,,
FLOW,,,Exports,,,,Imports,,,Balance,,,Exports,,,Imports,,,Balance,,
SERIES,,,Total trade in services ,Total trade in goods and services,Total trade in goods and services (US$),Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods
YEAR,ECONOMY,Lookup,,,,,,,,,,,,,,,,,,,
1999,Afghanistan,1999_Afghanistan,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..
1999,Albania,1999_Albania,269.4,544.4,544400000.0,275.0,163.1,1101.1,938.0,106.3,-556.7,-663.0,49.4856722998,100.0,50.5143277002,14.812460267,100.0,85.187539733,..,..,..
1999,Azerbaijan,1999_Azerbaijan,256.79,1282.02,1282020000.0,1025.23,485.116,1918.506,1433.39,-228.326,-636.486,-408.16,20.0301087347,100.0,79.9698912653,25.2861341064,100.0,74.7138658936,..,..,..
1999,Burkina Faso,1999_Burkina Faso,-,..,..,253.694981,-,-,580.402794,-,-,-326.707813,-,-,84.3865850591,-,-,77.3144372766,..,..,..
1999, Cameroon,1999_ Cameroon,433.742,2178.872,2178872000.0,1745.13,715.341,2049.281,1333.94,-281.599,129.591,411.19,19.9067223775,100.0,80.0932776225,34.9069258925,100.0,65.0930741075,..,..,..
1999,Central African Republic,1999_Central African Republic,44.1254574,190.5216674,190521667.4,146.39621,108.62775479,239.68042779,131.052673,-64.50229739,-49.15876039,15.343537,23.1603355157,100.0,76.8396644843,45.3219129287,100.0,54.6780870713,..,..,..
1999, Chad,1999_ Chad,53.37023448,296.40295048,296402950.48,243.032716,230.33170429,494.03848329,263.706779,-176.96146981,-197.63553281,-20.674063,18.0059727454,100.0,81.9940272546,46.6222191349,100.0,53.3777808651,..,..,..
1999,Republic of the Congo,1999_Republic of the Congo,146.031,1706.121,1706121000.0,1560.09,868.6,1391.251,522.651,-722.569,314.87,1037.439,8.5592405228,100.0,91.4407594772,62.4330189161,100.0,37.5669810839,..,..,..
1999,Democratic Republic of Congo,1999_Democratic Republic of Congo,46.7,1020.7,1020700000.0,974.0,300.0,758.0,458.0,-253.3,262.7,516.0,4.5752914666,100.0,95.4247085334,39.5778364116,100.0,60.4221635884,..,..,..
1999, Equatorial Guinea,1999_ Equatorial Guinea,14.148147,764.250064,764250064.0,750.101917,424.186169,846.397347,422.211178,-410.038022,-82.147283,327.890739,1.8512457724,100.0,98.1487542276,50.1166704389,100.0,49.8833295611,..,..,..
1999, Gabon,1999_ Gabon,280.9,2779.717881,2779717881.0,2498.817881,866.954,1777.483,910.529,-586.054,1002.234881,1588.288881,10.1053420536,100.0,89.8946579464,48.7742498803,100.0,51.2257501197,..,..,..
1999,Ghana,1999_Ghana,467.8,2473.3,2473300000.0,2005.5,646.0,3925.9,3279.9,-178.2,-1452.6,-1274.4,18.9140015364,100.0,81.0859984636,16.4548256451,100.0,83.5451743549,..,..,..
1999,Guatemala,1999_Guatemala,699.5,3480.1,3480100000.0,2780.6,790.7,5016.4,4225.7,-91.2,-1536.3,-1445.1,20.0999971265,100.0,79.9000028735,15.7622996571,100.0,84.2377003429,..,..,..
