Time,Country Name,Lookup,Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Ores and metals exports (% of merchandise exports) [TX.VAL.MMTL.ZS.UN],Extractive Exports(% Merchandise Exports),Extractive Exports (current US$),"School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary (% gross) [SE.PRM.ENRR]","Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"
1999.0,Afghanistan,1999_Afghanistan,166240000.0,..,..,..,..,..,25.74112,..
1999.0,Albania,1999_Albania,351120000.0,1.9781619836231716,3.91537546577377,0.05893537449396941,20693388.69232254,93.08723,101.68789,93.08723
1999.0,Azerbaijan,1999_Azerbaijan,929000000.0,78.59607586311955,2.408040686466842,0.810041165495864,752528242.7456577,92.1411,95.48014,92.1411
1999.0,Burkina Faso,1999_Burkina Faso,255000000.0,1.1043421413550452,0.0858128668912214,0.011901550082462665,3034895.27102798,35.49161,44.2867,35.51646
1999.0,Cameroon,1999_Cameroon,1601000000.0,..,..,..,..,..,81.01265,..
1999.0,Central African Republic,1999_Central African Republic,146000000.0,0.1538232718283155,1.3002943472816963,0.014541176191100118,2123011.723900617,..,..,..
1999.0,Chad,1999_Chad,243000000.0,..,..,..,..,49.95428,61.24435,49.99271
1999.0,"Congo, Dem. Rep.","1999_Congo, Dem. Rep.",809000000.0,..,..,..,..,36.21061,52.51333,36.21061
1999.0,"Congo, Rep.","1999_Congo, Rep.",1560000000.0,..,..,..,..,..,59.09863,..
1999.0,Equatorial Guinea,1999_Equatorial Guinea,709000000.0,..,..,..,..,..,113.34453,..
1999.0,Gabon,1999_Gabon,2394000000.0,78.47456844254678,2.32665037690184,0.8080121881944862,1934381178.5375998,..,142.87469,..
1999.0,Liberia,1999_Liberia,469000000.0,..,..,..,..,46.63387,95.16743,46.63387
1999.0,Kyrgyz Republic,1999_Kyrgyz Republic,454000000.0,11.819788693450382,5.833004818677185,0.17652793512127565,80143682.54505914,86.76145,96.36927,92.94676
1999.0,Ghana,1999_Ghana,1720000000.0,4.795841402518549,8.353001630150594,0.13148843032669144,226160100.16190928,61.34339,81.36481,62.10237
1999.0,Guatemala,1999_Guatemala,2398000000.0,3.506825260098984,0.6997198629792521,0.04206545123078237,100872952.05141611,82.77497,101.74212,84.02645
1999.0,Guinea,1999_Guinea,635700000.0,0.022510900442516697,74.11100856348448,0.7413351946392699,471266783.2321839,41.7557,53.84885,41.98361
1999.0,Indonesia,1999_Indonesia,51243000000.0,22.97127331904872,4.70115188753281,0.2767242520658153,14180180848.608574,..,112.93586,..
1999.0,Iraq,1999_Iraq,12800000000.0,..,..,..,..,89.00275,97.1404,89.00275
1999.0,Kazakhstan,1999_Kazakhstan,5872000000.0,45.01092030454678,21.453546035893385,0.6646446634044016,3902793463.5106463,..,98.01559,..
1999.0,Madagascar,1999_Madagascar,584000000.0,2.3920041759931947,3.7757195210496697,0.06167723697042865,36019506.39073033,63.23344,93.68977,63.53181
1999.0,Mali,1999_Mali,571000000.0,0.00520051960675747,0.04365846346934744,0.0004885898307610491,278984.79336455907,47.18355,60.06901,47.18355
1999.0,Mauritania,1999_Mauritania,357832456.0,..,..,..,..,59.71467,82.50178,59.71467
1999.0,Mongolia,1999_Mongolia,454000000.0,0.3708938256579282,42.530004713406754,0.42900898539064686,194770079.36735368,88.13317,96.73642,90.70588
1999.0,Niger,1999_Niger,287000000.0,0.01449567182849303,59.247328457708825,0.5926182412953732,170081435.2517721,27.05998,32.03839,27.24266
1999.0,Nigeria,1999_Nigeria,13856000000.0,98.94230829687186,0.0026758514171315952,0.98944984148289,13709817003.586924,61.87025,93.80985,62.90949
1999.0,Norway,1999_Norway,45479000000.0,49.95189363569783,7.22358427974932,0.5717547791544715,26002835601.16621,99.77762,100.82249,99.77762
1999.0,Peru,1999_Peru,6113000000.0,5.2776031328394435,40.212269980981716,0.4548987311382116,2780795943.4478874,97.63899,122.83911,99.91321
1999.0,Sierra Leone,1999_Sierra Leone,6000000.0,..,..,..,..,..,..,..
1999.0,Tanzania,1999_Tanzania,543000000.0,0.32778265709761734,0.7750288898612999,0.011028115469589173,5988266.699986921,49.26215,66.50754,49.29449
1999.0,Timor-Leste,1999_Timor-Leste,..,..,..,..,..,..,..,..
1999.0,Togo,1999_Togo,391000000.0,0.0,26.64773466557893,0.2664773466557893,104192642.54241362,85.06261,119.52545,88.54907
1999.0,Trinidad and Tobago,1999_Trinidad and Tobago,2804000000.0,54.08485019559672,0.2785038680754781,0.543633540636722,1524348447.9453685,93.70213,102.55488,97.88999
1999.0,"Yemen, Rep.","1999_Yemen, Rep.",2440000000.0,95.96383462516074,0.17497411116244196,0.9613880873632319,2345786933.166286,57.17121,73.00678,57.57562
1999.0,Zambia,1999_Zambia,1063000000.0,0.9795834813559084,63.74161565917257,0.6472119914052847,687986346.8638177,71.12654,84.33762,71.49209
2000.0,Afghanistan,2000_Afghanistan,137310000.0,..,..,..,..,..,21.25912,..
2000.0,Albania,2000_Albania,257930000.0,1.8513687889128057,3.7070565246729297,0.055584253135857346,14336846.411331685,93.60249,102.25079,93.60249
2000.0,Azerbaijan,2000_Azerbaijan,1745000000.0,85.08093842332228,1.6750807947535202,0.8675601921807581,1513892535.355423,88.23962,97.20749,88.23962
2000.0,Burkina Faso,2000_Burkina Faso,209000000.0,3.2179220307766037,0.032441821074801355,0.03250363851851405,6793260.450369437,36.33498,45.01894,36.74758
2000.0,Cameroon,2000_Cameroon,1833000000.0,54.15073670321468,5.591910066856559,0.5974264677007124,1095082715.2954059,..,83.14535,..
2000.0,Central African Republic,2000_Central African Republic,161000000.0,0.4548314601298031,7.567612564301479,0.08022444024431281,12916134.879334362,..,..,..
2000.0,Chad,2000_Chad,183000000.0,..,..,..,..,51.62139,64.06082,51.68275
2000.0,"Congo, Dem. Rep.","2000_Congo, Dem. Rep.",806600000.0,..,..,..,..,..,..,..
2000.0,"Congo, Rep.","2000_Congo, Rep.",2489000000.0,..,..,..,..,..,87.76526,..
2000.0,Equatorial Guinea,2000_Equatorial Guinea,1097000000.0,..,..,..,..,68.02352,107.59564,68.31972
2000.0,Gabon,2000_Gabon,2598135330.0,83.32552928077803,1.727581378682015,0.8505311065946004,2209794917.3074274,..,..,..
2000.0,Liberia,2000_Liberia,329000000.0,..,..,..,..,..,112.68771,..
2000.0,Kyrgyz Republic,2000_Kyrgyz Republic,505000000.0,26.697394249376284,11.193398941835323,0.3789079319121161,191348505.61561862,85.83326,95.88708,92.30837
2000.0,Ghana,2000_Ghana,1671000000.0,7.730210675669302,18.821440270508432,0.26551650946177735,443678087.31062996,64.85573,86.02353,65.63145
2000.0,Guatemala,2000_Guatemala,2696000000.0,6.014964857022061,1.871519493987019,0.0788648435100908,212619618.10320482,85.59637,103.72176,86.83268
2000.0,Guinea,2000_Guinea,666000000.0,0.040081316095265065,63.411741671968436,0.634518229880637,422589141.1005042,44.83125,57.45254,45.15591
2000.0,Indonesia,2000_Indonesia,65403000000.0,25.371196809713677,4.929874546422545,0.3030107135613622,19817809699.053772,..,110.2584,..
2000.0,Iraq,2000_Iraq,20603000000.0,97.14165249752755,0.005934027289642255,0.9714758652481719,20015317251.708084,87.95067,95.9921,87.95067
2000.0,Kazakhstan,2000_Kazakhstan,8812000000.0,53.81812285373406,18.712585535360947,0.7253070838909501,6391406023.247052,88.63322,98.72137,96.38423
2000.0,Madagascar,2000_Madagascar,824000000.0,3.8003213470060797,2.0691515808029055,0.05869472927808985,48364456.925146036,64.9494,99.63477,65.18059
2000.0,Mali,2000_Mali,545000000.0,7.191950046967337e-05,0.30449211206989407,0.0030456403157036378,1659873.9720584827,..,62.18044,..
2000.0,Mauritania,2000_Mauritania,354570578.0,..,45.72355243268758,..,..,59.86309,82.70699,59.86914
2000.0,Mongolia,2000_Mongolia,536000000.0,0.49146165907848394,41.41246924433837,0.4190393090341685,224605069.6423143,89.99547,99.01818,92.85614
2000.0,Niger,2000_Niger,283000000.0,1.639955919270386,40.6733358497513,0.4231329176902168,119746615.70633136,27.89883,33.64777,27.96915
2000.0,Nigeria,2000_Nigeria,20975000000.0,99.63503387937604,0.008705338188667422,0.996437392175647,20900274300.884193,64.86935,98.35719,64.86935
2000.0,Norway,2000_Norway,60058000000.0,63.89607172028362,6.080252943726777,0.699763246640104,42026381066.711365,99.71899,100.92243,99.71899
2000.0,Peru,2000_Peru,7028000000.0,7.055122339483118,39.254334455248376,0.46309456794731496,3254628623.5337296,97.59719,122.2266,99.97621
2000.0,Sierra Leone,2000_Sierra Leone,13000000.0,..,1.358062842231579,..,..,..,68.71768,..
2000.0,Tanzania,2000_Tanzania,733700000.0,0.12437358075679748,0.53616622864613,0.006605398094029274,4846380.581589279,53.00334,68.16767,53.03684
2000.0,Timor-Leste,2000_Timor-Leste,..,..,..,..,..,..,..,..
2000.0,Togo,2000_Togo,363000000.0,0.6467214111652838,25.505791612377486,0.2615251302354277,94933622.27546026,83.29333,112.79296,84.95529
2000.0,Trinidad and Tobago,2000_Trinidad and Tobago,4274000000.0,65.27791530944626,0.14666704107229772,0.6542458235051855,2796246649.661163,93.85632,104.90436,98.30504
2000.0,"Yemen, Rep.","2000_Yemen, Rep.",4079000000.0,96.89777772936357,0.14459616822811364,0.9704237389759168,3958358431.282765,..,..,..
2000.0,Zambia,2000_Zambia,892362000.0,1.0886785491540187,74.10120625730848,0.751898848064625,670965959.8566449,70.67359,84.28811,71.38934
2001.0,Afghanistan,2001_Afghanistan,68000000.0,..,..,..,..,..,21.11671,..
2001.0,Albania,2001_Albania,307190000.0,1.4483597061316942,2.912995902503771,0.04361355608635465,13397648.294167286,93.49585,102.56187,93.49585
2001.0,Azerbaijan,2001_Azerbaijan,2314000000.0,91.3282286219921,0.631924148390805,0.9196015277038291,2127957935.1066606,85.38303,98.861,85.4634
2001.0,Burkina Faso,2001_Burkina Faso,223000000.0,0.023109654576162285,0.04730047606384058,0.0007041013064000287,157014.5913272064,37.26344,46.43786,37.77188
