iso2c,year,source,not_credible,not_comparable,rev_inc_soc_contr,rev_ex_soc_contr,rev_ex_grants_inc_soc_contr,rev_ex_grants_ex_soc_contr,tot_resource_rev,resource_taxes,resource_comp_tax_income,resource_comp_indirect,resourc_comp_non_tax
AF,2006,GFS,False,False,0.296665701602007,0.295651390260795,0.091835893593106,0.0908215822518932,NULL,0.0,0.0,0.0,NULL
AF,2007,GFS,False,False,0.359507404313139,0.358592836223754,0.0809392873865024,0.0800247192971182,NULL,0.0,0.0,0.0,NULL
AF,2008,GFS,False,False,0.301973114510742,0.300563650608597,0.0809528004468419,0.0795433365446973,NULL,0.0,0.0,0.0,NULL
AL,1989,IMF Country Report,False,True,0.429943151961018,0.386948836764917,0.429943151961018,0.429943151961018,NULL,0.0,NULL,NULL,NULL
AL,1990,IMF Country Report,False,True,0.41932059447983,0.36624203821656,0.41932059447983,0.41932059447983,NULL,0.0,NULL,NULL,NULL
AL,1991,IMF Country Report,False,True,0.282885431400283,0.206723969100207,0.255684909150256,0.17952344685018,NULL,0.0,NULL,NULL,NULL
AL,1992,IMF Country Report,False,False,NULL,NULL,0.200452640402347,0.171953059513831,NULL,0.0,0.0,0.0,NULL
AL,1993,IMF Country Report,False,False,NULL,NULL,0.221926352063338,0.19908580867485,NULL,0.0,0.0,0.0,NULL
AL,1994,IMF Country Report,False,False,NULL,NULL,0.208264266546344,0.177942957562516,NULL,0.0,NULL,0.0,NULL
AL,1995,IMF Country Report,False,False,NULL,NULL,0.213287643492176,0.176578265030197,NULL,0.0,NULL,0.0,NULL
AL,1996,IMF Country Report,False,False,NULL,NULL,0.163050451285895,0.122755479900152,NULL,0.0,NULL,0.0,NULL
AL,1997,IMF Country Report,False,False,0.182621218799079,0.141828012390358,0.176016338388384,0.135223131979664,NULL,0.0,0.0,0.0,NULL
AL,1998,IMF Country Report,False,False,0.241677701624443,0.203290600156187,0.225469652653483,0.187082551185227,NULL,0.0,0.0,0.0,NULL
AL,1999,IMF Country Report,False,False,0.255176674235859,0.216894269551815,0.22697879571824,0.188696391034196,NULL,0.0,0.0,0.0,NULL
AL,2000,IMF Country Report,False,False,0.241091076641882,0.202751972591164,0.230550834252633,0.192211730201915,NULL,0.0,0.0,0.0,NULL
AL,2001,IMF Country Report,False,False,0.238529987023651,0.199950631589954,0.232238943104622,0.193659587670925,NULL,0.0,0.0,0.0,NULL
AL,2002,IMF Country Report,False,False,0.248261231935842,0.207091250997654,0.241646606531762,0.200476625593574,NULL,0.0,0.0,0.0,NULL
AL,2003,IMF Country Report,False,False,0.240816138355103,0.199592852882446,0.237045777397428,0.195822491924771,NULL,0.0,0.0,0.0,NULL
AL,2004,IMF Country Report,False,False,0.245875983137649,0.201522406547813,0.242412941121626,0.19805936453179,NULL,0.0,NULL,0.0,NULL
AL,2005,IMF Country Report,False,False,0.253437359244082,0.208395465373584,0.244968992276604,0.199927098406106,NULL,0.0,NULL,0.0,NULL
AL,2006,IMF Country Report,False,False,0.256515179509617,0.211967912365437,0.251074291919488,0.206527024775308,NULL,0.0,NULL,0.0,NULL
AL,2007,IMF Country Report,False,False,0.256595740283361,0.213192513976872,0.25525230708816,0.211849080781671,NULL,0.0,NULL,0.0,NULL
AL,2008,IMF Country Report,False,False,0.267053951507996,0.223355883127864,0.263198239592102,0.21950017121197,NULL,0.0,NULL,0.0,NULL
AL,2009,IMF Country Report,False,False,0.259769595662977,0.216503622873625,0.25594689927195,0.212680926482598,NULL,0.0,NULL,0.0,NULL
AL,2010,IMF Country Report,False,False,0.258321283459113,0.216614843451321,0.254603267489426,0.212896827481634,NULL,0.0,NULL,0.0,NULL
AR,1981,IMF Country Report,False,False,NULL,NULL,0.185978057265186,NULL,NULL,NULL,NULL,NULL,NULL
AR,1982,IMF Country Report,False,False,NULL,NULL,0.155592165476844,NULL,NULL,NULL,NULL,NULL,NULL
AR,1983,IMF Country Report,False,False,NULL,NULL,0.146301369863014,NULL,NULL,NULL,NULL,NULL,NULL
AR,1984,IMF Country Report,False,False,NULL,NULL,0.11979,NULL,NULL,NULL,NULL,NULL,NULL
AR,1985,IMF Country Report,False,False,NULL,NULL,0.178152,0.1496454,NULL,0.0,NULL,NULL,NULL
AR,1986,IMF Country Report,False,False,NULL,NULL,0.165348,0.1356244,NULL,0.0,NULL,NULL,NULL
AR,1987,IMF Country Report,False,False,NULL,NULL,0.157959565217391,0.127143043478261,NULL,0.0,NULL,NULL,NULL
AR,1988,IMF Country Report,False,False,NULL,NULL,0.140586756756757,0.108582861261261,NULL,0.0,NULL,NULL,NULL
AR,1990,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,1991,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,1992,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,1993,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,1994,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,1995,OECD Tax Statistics,False,False,NULL,NULL,0.231700037983613,0.184216646124509,NULL,0.0,0.0,0.0,NULL
AR,1996,OECD Tax Statistics,False,False,NULL,NULL,0.220805374060164,0.181269063140797,NULL,0.0,0.0,0.0,NULL
AR,1997,OECD Tax Statistics,False,False,NULL,NULL,0.230758460540245,0.192842604924359,NULL,0.0,0.0,0.0,NULL
AR,1998,OECD Tax Statistics,False,False,NULL,NULL,0.238205795569353,0.201349199446002,NULL,0.0,0.0,0.0,NULL
AR,1999,OECD Tax Statistics,False,False,NULL,NULL,0.24330623975175,0.207842798455489,NULL,0.0,0.0,0.0,NULL
AR,2000,OECD Tax Statistics,False,False,NULL,NULL,0.247269056813466,0.213260109589427,NULL,0.0,0.0,0.0,NULL
AR,2001,OECD Tax Statistics,False,False,NULL,NULL,0.236505079653126,0.204216930193815,NULL,0.0,0.0,0.0,NULL
AR,2002,OECD Tax Statistics,False,False,NULL,NULL,0.230453203235332,0.202077930414687,NULL,0.0,0.0,0.0,NULL
AR,2003,OECD Tax Statistics,False,False,NULL,NULL,0.258786631487304,0.230489697789398,NULL,0.0,0.0,0.0,NULL
AR,2004,OECD Tax Statistics,False,False,NULL,NULL,0.288641907406538,0.258238278254376,NULL,0.0,0.0,0.0,NULL
AR,2005,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,2006,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,2007,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,2008,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AR,2009,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL
AM,1991,IMF Country Report,False,True,0.2548125,0.2548125,0.2548125,0.2548125,NULL,0.0,NULL,NULL,NULL
AM,1992,IMF Country Report,False,True,0.266864406779661,0.266864406779661,0.266864406779661,0.266864406779661,NULL,0.0,NULL,NULL,NULL
AM,1993,IMF Country Report,False,True,0.203611752630228,0.203611752630228,0.203611752630228,0.203611752630228,NULL,0.0,NULL,NULL,NULL
AM,1994,IMF Country Report,False,True,0.203015368989389,0.203015368989389,0.132986234731243,0.132986234731243,NULL,0.0,NULL,NULL,NULL
AM,1995,IMF Country Report,False,False,0.198818204099139,0.198818204099139,0.16237822064275,0.16237822064275,NULL,0.0,0.0,0.0,NULL
AM,1996,IMF Country Report,False,False,0.176343637185822,0.154111634899101,0.161673540438802,0.139441538152082,NULL,0.0,0.0,0.0,NULL
AM,1997,IMF Country Report,False,False,0.19693262517157,0.169580871675519,0.182510791510016,0.155159038013964,NULL,0.0,0.0,0.0,NULL
AM,1998,IMF Country Report,False,False,0.206932283843686,0.180032133642458,0.197407327935858,0.170507177734631,NULL,0.0,0.0,0.0,NULL
AM,1999,IMF Country Report,False,False,0.227253393610169,0.201834230599406,0.211961387177399,0.186542224166636,NULL,0.0,0.0,0.0,NULL
AM,2000,IMF Country Report,False,False,0.195862074315113,0.173076139926969,0.189462620401847,0.166676686013703,NULL,0.0,0.0,0.0,NULL
AM,2001,IMF Country Report,False,False,0.200786306731061,0.178164893096812,0.185053368677166,0.162431955042917,NULL,0.0,0.0,0.0,NULL
AM,2003,GFS,False,False,0.216590967984967,0.189070491178677,0.185057511096284,0.157537034289995,NULL,0.0,0.0,0.0,NULL
AM,2004,GFS,False,False,0.195688921850473,0.169048657062966,0.188490810793812,0.161850546006305,NULL,0.0,0.0,0.0,NULL
AM,2005,GFS,False,False,0.205139372084386,0.176657620266077,0.198372120500374,0.169890368682066,NULL,0.0,0.0,0.0,NULL
AM,2006,GFS,False,False,0.21004506454734,0.179846020051276,0.203770332694574,0.17357128819851,NULL,0.0,0.0,0.0,NULL
AM,2007,GFS,False,False,0.227869994535264,0.19977755571665,0.219915380739044,0.191822941920431,NULL,0.0,0.0,0.0,NULL
AM,2008,GFS,False,False,0.238082347876873,0.208655584788864,0.233770235534276,0.204343472446267,NULL,0.0,0.0,0.0,NULL
AU,1970,OECD Tax Statistics,False,False,NULL,NULL,0.262833675564682,0.262833675564682,NULL,0.0,0.0,0.0,NULL
AU,1971,OECD Tax Statistics,False,False,NULL,NULL,0.270255637681842,0.270255637681842,NULL,0.0,0.0,0.0,NULL
AU,1972,OECD Tax Statistics,False,False,NULL,NULL,0.279648767016893,0.279648767016893,NULL,0.0,0.0,0.0,NULL
AU,1973,OECD Tax Statistics,False,False,NULL,NULL,0.293824011659683,0.293824011659683,NULL,0.0,0.0,0.0,NULL
AU,1974,OECD Tax Statistics,False,False,NULL,NULL,0.308924100873176,0.308924100873176,NULL,0.0,0.0,0.0,NULL
AU,1975,OECD Tax Statistics,False,False,NULL,NULL,0.321979114868225,0.321979114868225,NULL,0.0,0.0,0.0,NULL
AU,1976,OECD Tax Statistics,False,False,NULL,NULL,0.318148526278409,0.318148526278409,NULL,0.0,0.0,0.0,NULL
AU,1977,OECD Tax Statistics,False,False,NULL,NULL,0.310549717863338,0.310549717863338,NULL,0.0,0.0,0.0,NULL
AU,1978,OECD Tax Statistics,False,False,NULL,NULL,0.30997739166464,0.30997739166464,NULL,0.0,0.0,0.0,NULL
AU,1979,OECD Tax Statistics,False,False,NULL,NULL,0.320940231738354,0.320940231738354,NULL,0.0,0.0,0.0,NULL
AU,1980,OECD Tax Statistics,False,False,NULL,NULL,0.322841795715373,0.322841795715373,NULL,0.0,0.0,0.0,NULL
AU,1981,OECD Tax Statistics,False,False,NULL,NULL,0.322644887816999,0.322644887816999,NULL,0.0,0.0,0.0,NULL
AU,1982,OECD Tax Statistics,False,False,NULL,NULL,0.32376064286724,0.32376064286724,NULL,0.0,0.0,0.0,NULL
AU,1983,OECD Tax Statistics,False,False,NULL,NULL,0.337642926161527,0.337642926161527,NULL,0.0,0.0,0.0,NULL
AU,1984,OECD Tax Statistics,False,False,NULL,NULL,0.345851952940337,0.345851952940337,NULL,0.0,0.0,0.0,NULL
AU,1985,OECD Tax Statistics,False,False,NULL,NULL,0.349442230117168,0.349442230117168,NULL,0.0,0.0,0.0,NULL
AU,1986,OECD Tax Statistics,False,False,NULL,NULL,0.368703326293363,0.368703326293363,NULL,0.0,0.0,0.0,NULL
AU,1987,OECD Tax Statistics,False,False,NULL,NULL,0.366184982478245,0.366184982478245,NULL,0.0,0.0,0.0,NULL
AU,1988,OECD Tax Statistics,False,False,NULL,NULL,0.3602756131003,0.3602756131003,NULL,0.0,0.0,0.0,NULL
AU,1989,OECD Tax Statistics,False,False,NULL,NULL,0.345853193517636,0.345853193517636,NULL,0.0,0.0,0.0,NULL
AU,1990,OECD Tax Statistics,False,False,NULL,NULL,0.330254158574685,0.330254158574685,NULL,0.0,0.0,0.0,NULL
AU,1991,OECD Tax Statistics,False,False,NULL,NULL,0.326977969084218,0.326977969084218,NULL,0.0,0.0,0.0,NULL
AU,1992,OECD Tax Statistics,False,False,NULL,NULL,0.326058318960029,0.326058318960029,NULL,0.0,0.0,0.0,NULL
AU,1993,OECD Tax Statistics,False,False,NULL,NULL,0.342321515768728,0.342321515768728,NULL,0.0,0.0,0.0,NULL
AU,1994,OECD Tax Statistics,False,False,NULL,NULL,0.343453081731806,0.343453081731806,NULL,0.0,0.0,0.0,NULL
AU,1995,OECD Tax Statistics,False,False,NULL,NULL,0.348988420943567,0.348988420943567,NULL,0.0,0.0,0.0,NULL
AU,1996,OECD Tax Statistics,False,False,NULL,NULL,0.354305080751905,0.354305080751905,NULL,0.0,0.0,0.0,NULL
AU,1997,OECD Tax Statistics,False,False,NULL,NULL,0.356929762661655,0.356929762661655,NULL,0.0,0.0,0.0,NULL
AU,1998,OECD Tax Statistics,False,False,NULL,NULL,0.363613809392279,0.363613809392279,NULL,0.0,0.0,0.0,NULL
AU,1999,OECD Tax Statistics,False,False,NULL,NULL,0.375459171690284,0.375459171690284,NULL,0.0,0.0,0.0,NULL
AU,2000,OECD Tax Statistics,False,False,NULL,NULL,0.359690010610884,0.359690010610884,NULL,0.0,0.0,0.0,NULL
AU,2001,OECD Tax Statistics,False,False,NULL,NULL,0.362367268442502,0.362367268442502,NULL,0.0,0.0,0.0,NULL
AU,2002,OECD Tax Statistics,False,False,NULL,NULL,0.365378219459358,0.365378219459358,NULL,0.0,0.0,0.0,NULL
AU,2003,OECD Tax Statistics,False,False,NULL,NULL,0.369104810225765,0.369104810225765,NULL,0.0,0.0,0.0,NULL
AU,2004,OECD Tax Statistics,False,False,NULL,NULL,0.370634521676838,0.370634521676838,NULL,0.0,0.0,0.0,NULL
AU,2005,OECD Tax Statistics,False,False,NULL,NULL,0.36863845748538,0.36863845748538,NULL,0.0,0.0,0.0,NULL
AU,2006,OECD Tax Statistics,False,False,NULL,NULL,0.36742181788251,0.36742181788251,NULL,0.0,0.0,0.0,NULL
AU,2007,OECD Tax Statistics,False,False,NULL,NULL,0.366065648494824,0.366065648494824,NULL,0.0,0.0,0.0,NULL
AU,2008,OECD Tax Statistics,False,False,NULL,NULL,0.33401456704759,0.33401456704759,NULL,0.0,0.0,0.0,NULL
AT,1970,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1971,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1972,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1973,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1974,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1975,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1976,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1977,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1978,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1979,OECD Tax Statistics,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AT,1980,OECD Tax Statistics,False,False,NULL,NULL,0.483148729918479,0.360999748267346,NULL,0.0,0.0,0.0,NULL
