ISO,Calendar year (nearest),Source,Problem 1: Data Not Credible,Problem 3: Data is of Questionable Analytical Comparability,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Resource taxes,"Resource Component of Taxes on income, profits, and capital gains",Resource Component of Indirect,Resources Component of Non-Tax
AW,1980,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1981,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1982,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1983,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1984,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1985,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AW,1986,IMF Country Report,False,False,0.26694402444273,0.26694402444273,0.260266270999919,0.260266270999919,0.0,0.0,0.0,0.0,0.0
AW,1987,IMF Country Report,False,False,0.310996706903656,0.310996706903656,0.302874835501253,0.302874835501253,0.0,0.0,0.0,0.0,0.0
AW,1988,IMF Country Report,False,False,0.226009425000274,0.226009425000274,0.220170161949588,0.220170161949588,0.0,0.0,0.0,0.0,0.0
AW,1989,IMF Country Report,False,False,0.220967657871526,0.220967657871526,0.216134656670091,0.216134656670091,0.0,0.0,0.0,0.0,0.0
AW,1990,IMF Country Report,False,False,0.266734602006231,0.266734602006231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AW,1991,IMF Country Report,False,False,0.229019859064702,0.229019859064702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AW,1992,IMF Country Report,False,False,0.261130536130536,0.261130536130536,0.250582750582751,0.250582750582751,0.0,0.0,0.0,0.0,0.0
AW,1993,IMF Country Report,False,False,0.250696235172769,0.250696235172769,0.242805569881382,0.242805569881382,0.0,0.0,0.0,0.0,0.0
AW,1994,IMF Country Report,False,False,0.23829596412556,0.23829596412556,0.229192825112108,0.229192825112108,0.0,0.0,0.0,0.0,0.0
AW,1995,IMF Country Report,False,False,0.25494923857868,0.25494923857868,0.243485617597293,0.243485617597293,0.0,0.0,0.0,0.0,0.0
AW,1996,IMF Country Report,False,False,0.327125506072874,0.261255060728745,0.31582995951417,0.249797570850202,0.0,0.0,0.0,0.0,0.0
AW,1997,IMF Country Report,False,False,0.293581327498176,0.228884026258206,0.279613420860686,0.214916119620715,0.0,0.0,0.0,0.0,0.0
AW,1998,IMF Country Report,False,False,0.277121771217712,0.216873532371687,0.271855082187185,0.211606843341161,0.0,0.0,0.0,0.0,0.0
AW,1999,IMF Country Report,False,False,0.291763942931258,0.227496757457847,0.291309987029831,0.22704280155642,0.0,0.0,0.0,0.0,0.0
AW,2000,IMF Country Report,False,False,0.280222422602946,0.223083859332732,0.275142771265404,0.218004207995191,0.0,0.0,0.0,0.0,0.0
AW,2001,IMF Country Report,False,False,0.265960576640188,0.215298617240365,0.265960576640188,0.215298617240365,0.0,0.0,0.0,0.0,0.0
AW,2002,IMF Country Report,False,False,0.273428821981877,0.22060800935399,0.262496346097632,0.209675533469746,0.0,0.0,0.0,0.0,0.0
AW,2003,IMF Country Report,False,False,0.33661093794276,0.280249362425616,0.327968262964012,0.271606687446869,0.0,0.0,0.0,0.0,0.0
AW,2004,IMF Country Report,False,False,0.258837038467035,0.209621898355567,0.251014764542033,0.201799624430566,0.0,0.0,0.0,0.0,0.0
AW,2005,IMF Country Report,False,False,0.262552426602756,0.21787896944278,0.255698022768125,0.211024565608149,0.0,0.0,0.0,0.0,0.0
AW,2006,IMF Country Report,False,False,0.271906943305098,0.22701925469846,0.264371894960965,0.219484206354327,0.0,0.0,0.0,0.0,0.0
AW,2007,IMF Country Report,False,False,0.264407518247707,0.220873625681152,0.257123388039074,0.213589495472518,0.0,0.0,0.0,0.0,0.0
AW,2008,IMF Country Report,False,False,0.323951228247245,0.277780038743916,0.267890572856468,0.221719383353139,0.0,0.0,0.0,0.0,0.0
AW,2009,IMF Country Report,False,False,0.297249017506252,0.247610753840657,0.285548410146481,0.235910146480886,0.0,0.0,0.0,0.0,0.0
AW,2010,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1980,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1981,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1982,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1983,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1984,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1985,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1986,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1987,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1988,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1989,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1990,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1991,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1992,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1993,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1994,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1995,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1996,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1997,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1998,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,1999,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2000,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2001,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2002,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2003,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2004,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2005,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2006,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2007,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2008,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2009,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AD,2010,NULL,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AF,1980,IMF Country Report,False,True,0.0,0.0,0.162758405977584,0.162758405977584,0.0716625155666252,0.0,0.0,0.0,0.0716625155666252
AF,1981,IMF Country Report,False,True,0.0,0.0,0.173118466898955,0.173118466898955,0.0787224157955865,0.0,0.0,0.0,0.0787224157955865
AF,1982,IMF Country Report,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF,1983,IMF Country Report,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF,1984,IMF Country Report,False,True,0.0,0.0,0.25347388905482,0.25347388905482,0.0811586930152324,0.0,0.0,0.0,0.0811586930152324
